Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Showtime","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121022.jpg%3F4","NL","11 cm","rgb(171, 8, 8)","1.09","x 16"
"Anthurium Showtime","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_8864fdf9-c32c-49e8-a471-d2fb5bc312d2.jpg","NL","15 cm","rgb(171, 8, 8)","1.34","x 10"
"Anthurium Sparkle","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_471d2727-2949-468c-8bb4-75323acd0b08.jpg","NL","15 cm","rgb(251, 206, 177)","1.71","x 10"
"Anthurium Sun Eye","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_55ca1aef-e366-4b2d-9240-726ce3af2a9d.jpg","NL","11 cm","rgb(245, 166, 35)","0.92","x 16"
"Anthurium Sun Eye","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F123264.jpg%3F3","NL","13 cm","rgb(245, 166, 35)","1.06","x 12"
"Anthurium Sun Eye","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F123264.jpg%3F3","NL","15 cm","rgb(245, 166, 35)","1.05","x 10"
"Anthurium Tequila","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121170.jpg%3F4","NL","11 cm","rgb(255, 192, 203)","0.92","x 16"
"Anthurium Tequila","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121170.jpg%3F4","NL","15 cm","rgb(255, 192, 203)","1.22","x 10"
"Anthurium Tequila","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121170.jpg%3F4","NL","13 cm","rgb(255, 192, 203)","1.06","x 12"
"Anthurium Terra","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_5d104e4d-22fe-4c18-b204-5801b6302c9a.jpg","NL","11 cm","rgb(205, 127, 50)","1.81","x 16"
"Anthurium Terra","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_5d104e4d-22fe-4c18-b204-5801b6302c9a.jpg","NL","13 cm","rgb(205, 127, 50)","1.78","x 12"
"Anthurium Terrasol","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_93eed37c-5c8f-426d-a5dd-e2b3d37fb343.jpg","NL","13 cm","rgb(205, 127, 50)","1.79","x 12"
"Anthurium Tropical","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F4725.jpg%3F4","NL","13 cm","rgb(208, 2, 27)","1.12","x 12"
"Anthurium Tropical","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F4725.jpg%3F4","NL","11 cm","rgb(208, 2, 27)","0.99","x 16"
"Anthurium Tropical","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F4725.jpg%3F4","NL","15 cm","rgb(208, 2, 27)","1.18","x 10"
"Anthurium Utah","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F120340.jpg%3F4","NL","11 cm","rgb(189, 16, 224)","0.80","x 16"
"Anthurium Whisper","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_cab31485-e9e3-4920-bc70-f5f4c486cc59.jpg","NL","9 cm","rgb(255, 255, 255)","0.80","x 20"
"Anthurium Xavia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F26621.jpg%3F2","NL","11 cm","rgb(222, 49, 99)","1.07","x 16"
"Anthurium Xavia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F26621.jpg%3F2","NL","13 cm","rgb(222, 49, 99)","1.00","x 12"
"Anthurium Zafira","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F109956.jpg%3F2","NL","13 cm","rgb(255, 192, 203)","0.90","x 12"
