Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Marysia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F27666.jpg%3F2","NL","11 cm","rgb(255, 253, 208)","1.07","x 16"
"Anthurium Maxima Elegancia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_2f8647d2-36b3-48f0-ba80-44ec9c8981bd.jpg","NL","11 cm","rgb(208, 2, 27)","0.79","x 16"
"Anthurium Maxima Elegancia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_2f8647d2-36b3-48f0-ba80-44ec9c8981bd.jpg","NL","9 cm","rgb(208, 2, 27)","0.70","x 20"
"Anthurium Maxima Elegancia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_2f8647d2-36b3-48f0-ba80-44ec9c8981bd.jpg","NL","13 cm","rgb(208, 2, 27)","0.89","x 12"
"Anthurium Maxima Violeta","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F112194.jpg%3F2","NL","11 cm","rgb(255, 192, 203)","0.87","x 16"
"Anthurium Mixed","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_a1f649c4-04e7-4370-b7b6-fcee1435f264.jpg","NL","13 cm","rgba(0, 0, 0, 0)","0.99","x 12"
"Anthurium Mixed","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_a1f649c4-04e7-4370-b7b6-fcee1435f264.jpg","NL","15 cm","rgba(0, 0, 0, 0)","1.13","x 10"
"Anthurium Mixed","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_a1f649c4-04e7-4370-b7b6-fcee1435f264.jpg","NL","11 cm","rgba(0, 0, 0, 0)","0.81","x 16"
"Anthurium Moments","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F24719.jpg%3F3","NL","13 cm","rgb(255, 255, 255)","1.99","x 12"
"Anthurium Moments","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F24719.jpg%3F3","NL","11 cm","rgb(255, 255, 255)","1.94","x 16"
"Anthurium Moments","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F24719.jpg%3F3","NL","11 cm","rgb(255, 255, 255)","1.94","x 16"
"Anthurium Moments","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F24719.jpg%3F3","NL","9 cm","rgb(255, 255, 255)","0.91","x 20"
"Anthurium Narita","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F103142.jpg%3F3","NL","11 cm","rgb(208, 2, 27)","0.82","x 16"
"Anthurium Narita","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F103142.jpg%3F3","NL","13 cm","rgb(208, 2, 27)","0.74","x 12"
"Anthurium Narita","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F103142.jpg%3F3","NL","15 cm","rgb(208, 2, 27)","1.60","x 10"
"Anthurium Nero","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_00ec732e-21ea-40d1-86b8-b12be323a240.jpg","NL","15 cm","rgb(208, 2, 27)","1.36","x 10"
"Anthurium Nero","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_00ec732e-21ea-40d1-86b8-b12be323a240.jpg","NL","13 cm","rgb(208, 2, 27)","1.37","x 12"
"Anthurium Nexia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FS_fe730855-e304-4f82-a5d4-f46bb5a92a86.jpg","NL","11 cm","rgb(189, 16, 224)","0.86","x 16"
"Anthurium Nunzia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_6092dd71-ccb9-496e-89dc-1512078ea120.jpg","NL","15 cm","rgb(255, 192, 203)","1.44","x 10"
"Anthurium Nunzia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F24717.jpg%3F2","NL","13 cm","rgb(255, 192, 203)","1.62","x 12"
"Anthurium Olivius","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F122265.jpg%3F3","NL","11 cm","rgb(0, 128, 0)","2.02","x 16"
"Anthurium Olivius","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F122265.jpg%3F3","NL","9 cm","rgb(0, 128, 0)","0.84","x 20"
"Anthurium Panic","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_6ab1353d-f310-4613-949f-f6aeeb970fe4.jpg","NL","13 cm","rgb(255, 192, 203)","1.20","x 12"
